Date,Visitor,G,Home,G2,Column1,Att.,LOG,Notes
4/9/2008,New York Rangers,4,New Jersey Devils,1,,17625,,
4/9/2008,Calgary Flames,3,San Jose Sharks,2,,17496,,
4/9/2008,Ottawa Senators,0,Pittsburgh Penguins,4,,17132,,
4/9/2008,Colorado Avalanche,3,Minnesota Wild,2,OT,19352,,
4/10/2008,Dallas Stars,4,Anaheim Ducks,0,,17191,,
4/10/2008,Nashville Predators,1,Detroit Red Wings,3,,20066,,
4/10/2008,Boston Bruins,1,Montreal Canadiens,4,,21273,,
4/10/2008,Calgary Flames,0,San Jose Sharks,2,,17496,,
4/11/2008,New York Rangers,2,New Jersey Devils,1,,17625,,
4/11/2008,Ottawa Senators,3,Pittsburgh Penguins,5,,17132,,
4/11/2008,Philadelphia Flyers,4,Washington Capitals,5,,18277,,
4/11/2008,Colorado Avalanche,2,Minnesota Wild,3,OT,19360,,
4/12/2008,Nashville Predators,2,Detroit Red Wings,4,,20066,,
4/12/2008,Dallas Stars,5,Anaheim Ducks,2,,17181,,
4/12/2008,Boston Bruins,2,Montreal Canadiens,3,OT,21273,,
4/13/2008,San Jose Sharks,3,Calgary Flames,4,,19289,,
4/13/2008,Philadelphia Flyers,2,Washington Capitals,0,,18277,,
4/13/2008,Montreal Canadiens,1,Boston Bruins,2,OT,17565,,
4/13/2008,New Jersey Devils,4,New York Rangers,3,OT,18200,,
4/14/2008,Detroit Red Wings,3,Nashville Predators,5,,17113,,
4/14/2008,Pittsburgh Penguins,4,Ottawa Senators,1,,19961,,
4/14/2008,Minnesota Wild,3,Colorado Avalanche,2,OT,18007,,
4/15/2008,San Jose Sharks,3,Calgary Flames,2,,19289,,
4/15/2008,Washington Capitals,3,Philadelphia Flyers,6,,19822,,
4/15/2008,Anaheim Ducks,4,Dallas Stars,2,,18532,,
4/15/2008,Montreal Canadiens,1,Boston Bruins,0,,17565,,
4/15/2008,Minnesota Wild,1,Colorado Avalanche,5,,18007,,
4/16/2008,Detroit Red Wings,2,Nashville Predators,3,,17113,,
4/16/2008,New Jersey Devils,3,New York Rangers,5,,18200,,
4/16/2008,Pittsburgh Penguins,3,Ottawa Senators,1,,19954,,
4/17/2008,Calgary Flames,3,San Jose Sharks,4,,17496,,
4/17/2008,Boston Bruins,5,Montreal Canadiens,1,,21273,,
4/17/2008,Colorado Avalanche,3,Minnesota Wild,2,,19364,,
4/17/2008,Anaheim Ducks,1,Dallas Stars,3,,18532,,
4/17/2008,Washington Capitals,3,Philadelphia Flyers,4,2OT,19913,,
4/18/2008,Dallas Stars,2,Anaheim Ducks,5,,17199,,
4/18/2008,New York Rangers,5,New Jersey Devils,3,,17625,,
4/18/2008,Nashville Predators,1,Detroit Red Wings,2,OT,20066,,
4/19/2008,Montreal Canadiens,4,Boston Bruins,5,,17565,,
4/19/2008,Minnesota Wild,1,Colorado Avalanche,2,,18007,,
4/19/2008,Philadelphia Flyers,2,Washington Capitals,3,,18277,,
4/20/2008,Detroit Red Wings,3,Nashville Predators,0,,17113,,
4/20/2008,Anaheim Ducks,1,Dallas Stars,4,,18532,,
4/20/2008,San Jose Sharks,0,Calgary Flames,2,,19289,,
4/21/2008,Boston Bruins,0,Montreal Canadiens,5,,21273,,
4/21/2008,Washington Capitals,4,Philadelphia Flyers,2,,19927,,
4/22/2008,Calgary Flames,3,San Jose Sharks,5,,17496,,
4/22/2008,Philadelphia Flyers,3,Washington Capitals,2,OT,18277,,
4/24/2008,Colorado Avalanche,3,Detroit Red Wings,4,,20066,,
4/24/2008,Philadelphia Flyers,3,Montreal Canadiens,4,OT,21273,,
4/25/2008,New York Rangers,4,Pittsburgh Penguins,5,,17132,,
4/25/2008,Dallas Stars,3,San Jose Sharks,2,OT,17496,,
4/26/2008,Colorado Avalanche,1,Detroit Red Wings,5,,20066,,
4/26/2008,Philadelphia Flyers,4,Montreal Canadiens,2,,21273,,
4/27/2008,Dallas Stars,5,San Jose Sharks,2,,17496,,
4/27/2008,New York Rangers,0,Pittsburgh Penguins,2,,17132,,
4/28/2008,Montreal Canadiens,2,Philadelphia Flyers,3,,19849,,
4/29/2008,Detroit Red Wings,4,Colorado Avalanche,3,,18007,,
4/29/2008,Pittsburgh Penguins,5,New York Rangers,3,,18200,,
4/29/2008,San Jose Sharks,1,Dallas Stars,2,OT,18532,,
4/30/2008,San Jose Sharks,2,Dallas Stars,1,,18584,,
4/30/2008,Montreal Canadiens,2,Philadelphia Flyers,4,,19872,,
5/1/2008,Detroit Red Wings,8,Colorado Avalanche,2,,18007,,
5/1/2008,Pittsburgh Penguins,0,New York Rangers,3,,18200,,
5/2/2008,Dallas Stars,2,San Jose Sharks,3,OT,17496,,
5/3/2008,Philadelphia Flyers,6,Montreal Canadiens,4,,21273,,
5/4/2008,San Jose Sharks,1,Dallas Stars,2,4OT,18532,,
5/4/2008,New York Rangers,2,Pittsburgh Penguins,3,OT,17132,,
5/8/2008,Dallas Stars,1,Detroit Red Wings,4,,20066,,
5/9/2008,Philadelphia Flyers,2,Pittsburgh Penguins,4,,17132,,
5/10/2008,Dallas Stars,1,Detroit Red Wings,2,,20066,,
5/11/2008,Philadelphia Flyers,2,Pittsburgh Penguins,4,,17132,,
5/12/2008,Detroit Red Wings,5,Dallas Stars,2,,18532,,
5/13/2008,Pittsburgh Penguins,4,Philadelphia Flyers,1,,19965,,
5/14/2008,Detroit Red Wings,1,Dallas Stars,3,,18532,,
5/15/2008,Pittsburgh Penguins,2,Philadelphia Flyers,4,,19972,,
5/17/2008,Dallas Stars,2,Detroit Red Wings,1,,20066,,
5/18/2008,Philadelphia Flyers,0,Pittsburgh Penguins,6,,17132,,
5/19/2008,Detroit Red Wings,4,Dallas Stars,1,,18584,,
5/24/2008,Pittsburgh Penguins,0,Detroit Red Wings,4,,20066,,
5/26/2008,Pittsburgh Penguins,0,Detroit Red Wings,3,,20066,,
5/28/2008,Detroit Red Wings,2,Pittsburgh Penguins,3,,17132,,
5/31/2008,Detroit Red Wings,2,Pittsburgh Penguins,1,,17132,,
6/2/2008,Pittsburgh Penguins,4,Detroit Red Wings,3,3OT,20066,,
6/4/2008,Detroit Red Wings,3,Pittsburgh Penguins,2,,17132,,
